full_journey,nb_parcours
SEO,3566
DIRECT_ACCESS,2730
SEA_Google_M,1279
AD_EXCHANGE_appnexus-SEO,629
AD_EXCHANGE_appnexus,594
email_auto-DIRECT_ACCESS,455
SEO-AD_EXCHANGE_appnexus-SEO,321
AD_EXCHANGE_appnexus-DIRECT_ACCESS,275
DIRECT_ACCESS-SEO,205
email_auto,193
SEO-DIRECT_ACCESS,193
AFFILIATION-REFERRAL,167
REFERRAL,162
AFFILIATION,117
SEA_Bing_M,117
AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,109
SEO-AD_EXCHANGE_appnexus,96
email_auto-DIRECT_ACCESS-email_auto,74
SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,68
DIRECT_ACCESS-SEO-DIRECT_ACCESS,62
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,59
SEA_Google_HM,58
email_auto-SEO,57
AFFILIATION-REFERRAL-AFFILIATION-REFERRAL,57
SEO-DIRECT_ACCESS-SEO,53
email_auto-REFERRAL,49
SEO-REFERRAL,47
AD_EXCHANGE_appnexus-email_auto-DIRECT_ACCESS,43
SEO-AFFILIATION,42
DIRECT_ACCESS-email_auto-DIRECT_ACCESS,37
email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS,34
SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS,29
AD_EXCHANGE_appnexus-REFERRAL,29
DIRECT_ACCESS-AD_EXCHANGE_appnexus,28
email_tactique,27
SEO-email_auto-DIRECT_ACCESS,27
SEO-AFFILIATION-REFERRAL,26
AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus,25
AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL,24
DIRECT_ACCESS-AFFILIATION,24
AD_EXCHANGE_appnexus-email_auto,23
SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,21
SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus,21
SEO-email_auto,20
SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS,20
AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,19
AD_EXCHANGE_appnexus-AFFILIATION-REFERRAL,19
AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,19
REFERRAL-SEO,19
DIRECT_ACCESS-REFERRAL,18
AD_EXCHANGE_appnexus-email_auto-REFERRAL,18
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,17
DIRECT_ACCESS-email_auto,16
SEA_Google_HM-SEA_Google_M,14
DIRECT_ACCESS-AFFILIATION-REFERRAL,14
AFFILIATION-DIRECT_ACCESS,14
email_tactique-DIRECT_ACCESS,14
REFERRAL-AFFILIATION-REFERRAL,12
AFFILIATION-REFERRAL-AFFILIATION,11
DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO,11
SOCIAL,11
REFERRAL-DIRECT_ACCESS,11
SEO-email_auto-SEO,11
email_auto-DIRECT_ACCESS-SEO,11
AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus,10
AD_EXCHANGE_appnexus-SEO-DIRECT_ACCESS,10
AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS,10
DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO,9
AD_EXCHANGE_appnexus-SEO-AFFILIATION-REFERRAL,9
DIRECT_ACCESS-email_auto-SEO,9
SEO-email_tactique,9
SEO-REFERRAL-AFFILIATION,9
SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,9
AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,8
email_tactique-email_auto-DIRECT_ACCESS,8
AD_EXCHANGE_appnexus-DIRECT_ACCESS-REFERRAL,8
SEO-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL,8
email_tactique-email_auto,8
email_auto-AD_EXCHANGE_appnexus-SEO,8
AD_EXCHANGE_appnexus-SEO-REFERRAL,7
AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO,7
DIRECT_ACCESS-SEO-email_auto-DIRECT_ACCESS,7
AFFILIATION-REFERRAL-SEO-AFFILIATION-REFERRAL,7
DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS,7
AD_EXCHANGE_appnexus-DIRECT_ACCESS-SEO,7
AFFILIATION-SEO,7
SEO-REFERRAL-SEO,7
SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,7
SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS,7
email_tactique-email_auto-REFERRAL,6
SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO,6
DIRECT_ACCESS-email_tactique,6
email_auto-email_tactique-DIRECT_ACCESS,6
SEO-AD_EXCHANGE_appnexus-SEO-DIRECT_ACCESS,6
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,6
SEO-AFFILIATION-SEO,6
email_auto-AD_EXCHANGE_appnexus-DIRECT_ACCESS,6
REFERRAL-DIRECT_ACCESS-REFERRAL,6
SEO-DIRECT_ACCESS-email_auto,6
SEO-AD_EXCHANGE_appnexus-SEO-REFERRAL,6
email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_auto,6
SEO-email_auto-REFERRAL,6
SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus,5
SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus,5
SEO-AD_EXCHANGE_appnexus-email_tactique-SEO,5
email_auto-REFERRAL-email_auto-REFERRAL,5
SEA_Google_M-SEA_Google_HM-SEA_Google_M,5
REFERRAL-AD_EXCHANGE_appnexus-REFERRAL,5
SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,5
SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS-SEO,5
AD_EXCHANGE_appnexus-email_auto-REFERRAL-email_auto-REFERRAL,5
REFERRAL-AFFILIATION,5
email_auto-SEO-email_auto,5
AD_EXCHANGE_appnexus-REFERRAL-SEO,4
email_auto-REFERRAL-SEO,4
SOCIAL-SEO,4
email_auto-SEO-DIRECT_ACCESS,4
AFFILIATION-REFERRAL-SEO,4
SEO-AD_EXCHANGE_appnexus-SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,4
DIRECT_ACCESS-SEO-AFFILIATION,4
DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,4
email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS,4
AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS,4
AD_EXCHANGE_appnexus-email_tactique-AD_EXCHANGE_appnexus-SEO,4
email_tactique-AD_EXCHANGE_appnexus,4
email_tactique-SEO-email_tactique,4
DISPLAY,4
AD_EXCHANGE_appnexus-AFFILIATION,4
SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-DIRECT_ACCESS,4
AD_EXCHANGE_appnexus-email_tactique-DIRECT_ACCESS,4
SEO-email_auto-DIRECT_ACCESS-SEO,4
AD_EXCHANGE_appnexus-email_auto-SEO,4
SEA_Google_M-SEA_Google_HM,4
DIRECT_ACCESS-SEO-email_auto-SEO,4
DIRECT_ACCESS-email_auto-REFERRAL,4
REFERRAL-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL,4
SEO-DIRECT_ACCESS-email_auto-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,3
SEO-AFFILIATION-DIRECT_ACCESS-SEO-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_auto-SEO-DIRECT_ACCESS-REFERRAL-DIRECT_ACCESS-email_tactique-DIRECT_ACCESS,3
AFFILIATION-REFERRAL-SEO-AFFILIATION,3
DISPLAY-SEO,3
AD_EXCHANGE_appnexus-AFFILIATION-REFERRAL-AFFILIATION,3
AFFILIATION-REFERRAL-DIRECT_ACCESS-AFFILIATION-REFERRAL,3
DIRECT_ACCESS-email_auto-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,3
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus,3
AFFILIATION-REFERRAL-SEO-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL,3
SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO,3
SEA_Google_M-SEA_Bing_M,3
DIRECT_ACCESS-SEO-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS,3
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,3
REFERRAL-AD_EXCHANGE_appnexus,3
email_auto-DIRECT_ACCESS-SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS,3
DIRECT_ACCESS-SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS,3
SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS,3
SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS,3
SEO-email_auto-DIRECT_ACCESS-email_auto,3
SEO-DIRECT_ACCESS-REFERRAL,3
AD_EXCHANGE_appnexus-email_auto-DIRECT_ACCESS-email_auto,3
AD_EXCHANGE_appnexus-REFERRAL-AD_EXCHANGE_appnexus-REFERRAL,3
email_tactique-email_auto-SEO,3
AD_EXCHANGE_appnexus-SEO-AFFILIATION,3
AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus,3
AD_EXCHANGE_appnexus-email_auto-AD_EXCHANGE_appnexus-DIRECT_ACCESS,3
SEO-AFFILIATION-REFERRAL-AFFILIATION,3
SEO-AD_EXCHANGE_appnexus-email_auto,3
AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL,3
SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,3
AD_EXCHANGE_appnexus-DIRECT_ACCESS-SEO-DIRECT_ACCESS,3
SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,3
DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_auto,3
email_auto-DIRECT_ACCESS-AFFILIATION,3
SEO-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO,3
SEO-email_auto-AD_EXCHANGE_appnexus-SEO,3
SEO-DIRECT_ACCESS-email_auto-DIRECT_ACCESS,3
email_auto-REFERRAL-email_auto-REFERRAL-email_auto-REFERRAL,3
AD_EXCHANGE_appnexus-email_tactique-SEO,3
email_auto-DIRECT_ACCESS-SEO-DIRECT_ACCESS,3
AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,3
email_tactique-REFERRAL,3
SEO-REFERRAL-SEO-DIRECT_ACCESS,3
SEO-email_tactique-SEO,3
SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO,3
SEO-DIRECT_ACCESS-email_auto-SEO,3
email_auto-SEO-email_auto-REFERRAL-email_auto-REFERRAL-email_auto-REFERRAL,3
email_auto-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO,3
DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO-AFFILIATION-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AFFILIATION,3
email_tactique-SEO,3
SEO-AD_EXCHANGE_appnexus-REFERRAL,3
AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL,2
SEO-email_auto-SEO-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS,2
SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO,2
email_tactique-SEO-DIRECT_ACCESS,2
DIRECT_ACCESS-AD_EXCHANGE_appnexus-AFFILIATION-REFERRAL,2
DIRECT_ACCESS-SEO-DIRECT_ACCESS-email_auto-email_tactique,2
SEO-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO,2
DIRECT_ACCESS-REFERRAL-AFFILIATION-REFERRAL-AFFILIATION,2
AFFILIATION-email_auto-DIRECT_ACCESS,2
DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS,2
DIRECT_ACCESS-SEO-REFERRAL-SEO-DIRECT_ACCESS,2
SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus,2
SEO-AD_EXCHANGE_appnexus-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS,2
DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO,2
SEO-DIRECT_ACCESS-email_auto-REFERRAL,2
email_tactique-REFERRAL-SEO,2
SEO-DIRECT_ACCESS-email_tactique-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS,2
REFERRAL-AD_EXCHANGE_appnexus-SEO,2
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-SEO-AD_EXCHANGE_appnexus,2
DIRECT_ACCESS-SEO-DIRECT_ACCESS-email_tactique-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS,2
DIRECT_ACCESS-email_tactique-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_auto-SEO-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO-email_auto-SEO,2
AD_EXCHANGE_appnexus-SEO-REFERRAL-SEO,2
AD_EXCHANGE_appnexus-DIRECT_ACCESS-email_auto,2
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus,2
AD_EXCHANGE_appnexus-SEO-REFERRAL-AFFILIATION,2
email_auto-DIRECT_ACCESS-SEO-AD_EXCHANGE_appnexus,2
DIRECT_ACCESS-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-DIRECT_ACCESS-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-DIRECT_ACCESS-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL,2
email_auto-SEO-email_auto-DIRECT_ACCESS-email_auto-SEO-email_auto-SEO,2
DIRECT_ACCESS-SEO-AFFILIATION-DIRECT_ACCESS,2
AD_EXCHANGE_appnexus-DIRECT_ACCESS-AFFILIATION-REFERRAL,2
REFERRAL-AFFILIATION-email_tactique-AFFILIATION-SEO-AFFILIATION-SEO-AFFILIATION,2
SEO-email_auto-DIRECT_ACCESS-SEO-AD_EXCHANGE_appnexus-SEO,2
SEO-AD_EXCHANGE_appnexus-REFERRAL-SEO-DIRECT_ACCESS,2
DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,2
DIRECT_ACCESS-SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,2
email_auto-AD_EXCHANGE_appnexus-email_auto-DIRECT_ACCESS,2
DIRECT_ACCESS-email_tactique-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-email_auto-email_tactique-DIRECT_ACCESS-SEO-DIRECT_ACCESS,2
SEO-DIRECT_ACCESS-SEO-AD_EXCHANGE_appnexus-SEO,2
AFFILIATION-AD_EXCHANGE_appnexus-AFFILIATION,2
email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO-AFFILIATION-REFERRAL,2
SEO-DIRECT_ACCESS-email_tactique,2
SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,2
email_auto-REFERRAL-AD_EXCHANGE_appnexus-email_auto-REFERRAL,2
SEO-AFFILIATION-SEO-AD_EXCHANGE_appnexus-AFFILIATION-DIRECT_ACCESS-AFFILIATION-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AFFILIATION-AD_EXCHANGE_appnexus-AFFILIATION,2
DIRECT_ACCESS-SEO-DIRECT_ACCESS-email_auto-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-email_auto,2
DIRECT_ACCESS-REFERRAL-SEO,2
AD_EXCHANGE_appnexus-email_auto-AD_EXCHANGE_appnexus,2
AFFILIATION-SEO-REFERRAL-DIRECT_ACCESS-SEO,2
SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,2
email_auto-SEO-email_auto-DIRECT_ACCESS,2
email_tactique-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO-DIRECT_ACCESS-AFFILIATION-REFERRAL-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-AFFILIATION-REFERRAL-AD_EXCHANGE_appnexus-AFFILIATION-REFERRAL-AFFILIATION,2
DIRECT_ACCESS-REFERRAL-AFFILIATION-REFERRAL,2
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,2
SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus,2
AD_EXCHANGE_appnexus-email_auto-SEO-AD_EXCHANGE_appnexus-SEO,2
SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_tactique-DIRECT_ACCESS,2
DIRECT_ACCESS-SEO-DIRECT_ACCESS-email_auto-SEO,2
AD_EXCHANGE_appnexus-SEO-REFERRAL-SEO-DIRECT_ACCESS-SEO,2
AD_EXCHANGE_appnexus-REFERRAL-AFFILIATION,2
AD_EXCHANGE_appnexus-email_auto-AD_EXCHANGE_appnexus-email_auto,2
email_auto-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO,2
DIRECT_ACCESS-AFFILIATION-SEO-DIRECT_ACCESS,2
AFFILIATION-DIRECT_ACCESS-AFFILIATION,2
SEO-DIRECT_ACCESS-AFFILIATION-REFERRAL,2
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO-AFFILIATION,2
AD_EXCHANGE_appnexus-AFFILIATION-SEO,2
